Deal_ID,Acquirer,Target,Industry,Deal_Type,Stage,Region,Financial_Advisor,Announcement_Date,Year,Quarter,Deal_Value_USD_M,Target_Revenue_USD_M,Target_EBITDA_USD_M,EV_EBITDA_Multiple,EV_Revenue_Multiple,Synergies_USD_M,Acquisition_Premium_Pct,Days_to_Completion
MA-1001,DeltaIndustries,AlphaTech,Consumer Goods,Merger,Due Diligence,Europe,Morgan Stanley,2023-10-17,2023,Q4,3716.3,1292.5,296.3,12.5,2.88,203.5,14.2,
MA-1002,ThetaCo,SigmaSoft,Technology,Leveraged Buyout,Due Diligence,Middle East,PwC,2021-03-27,2021,Q1,2273.6,1333.7,243.5,9.3,1.7,372.5,17.2,
MA-1003,XiXchange,LambdaWorks,Consumer Goods,Merger,Due Diligence,Asia Pacific,Morgan Stanley,2020-07-08,2020,Q3,1930.6,632.3,187.3,10.3,3.05,173.1,12.0,
MA-1004,OmicronOil,TauTelecom,Healthcare,Joint Venture,Announced,Middle East,Deloitte,2024-08-25,2024,Q3,3161.8,655.5,190.2,16.6,4.82,249.3,13.1,
MA-1005,ThetaCo,LambdaWorks,Healthcare,Merger,Announced,Latin America,Deloitte,2022-07-17,2022,Q3,3196.6,1072.1,308.0,10.4,2.98,260.3,22.0,
MA-1006,GammaSolutions,EtaHoldings,Energy,Merger,Terminated,Latin America,Deloitte,2023-08-03,2023,Q3,3456.4,1319.8,400.3,8.6,2.62,571.2,12.5,
MA-1007,BetaCorp,MuMedia,Telecom,Divestiture,Announced,Europe,KPMG,2021-03-11,2021,Q1,3294.4,1734.2,306.5,10.7,1.9,391.5,21.9,
MA-1008,ThetaCo,TauTelecom,Consumer Goods,Leveraged Buyout,Terminated,Middle East,PwC,2022-01-11,2022,Q1,1135.6,255.2,63.2,18.0,4.45,72.3,12.1,
MA-1009,DeltaIndustries,ZetaVentures,Financial Services,Joint Venture,Announced,Latin America,PwC,2023-05-05,2023,Q2,4980.8,2373.1,403.3,12.4,2.1,892.1,10.5,
MA-1010,DeltaIndustries,TauTelecom,Consumer Goods,Divestiture,Announced,Asia Pacific,PwC,2020-11-19,2020,Q4,2295.9,724.2,131.6,17.4,3.17,205.5,32.5,
MA-1011,ZetaVentures,SigmaSoft,Healthcare,Divestiture,Due Diligence,Europe,KPMG,2024-04-10,2024,Q2,849.7,277.1,48.7,17.4,3.07,159.6,37.0,
MA-1012,PiPharma,AlphaTech,Healthcare,Divestiture,Completed,Europe,Goldman Sachs,2021-05-08,2021,Q2,4396.1,593.1,253.2,17.4,7.41,540.3,13.1,449
MA-1013,SigmaSoft,EpsilonGroup,Financial Services,Joint Venture,Due Diligence,Asia Pacific,PwC,2021-03-09,2021,Q1,4648.1,1468.8,308.6,15.1,3.16,729.5,28.0,
MA-1014,MuMedia,PiPharma,Real Estate,Acquisition,Due Diligence,Europe,Morgan Stanley,2021-11-23,2021,Q4,154.1,53.1,12.2,12.6,2.9,7.9,41.9,
MA-1015,BetaCorp,IotaSystems,Healthcare,Acquisition,Completed,North America,EY,2021-07-24,2021,Q3,3361.4,992.0,392.2,8.6,3.39,639.8,35.7,302
MA-1016,ThetaCo,RhoRetail,Telecom,Merger,Announced,North America,PwC,2021-12-26,2021,Q4,2146.7,909.5,185.0,11.6,2.36,324.2,54.3,
MA-1017,DeltaIndustries,BetaCorp,Telecom,Divestiture,Announced,Europe,EY,2021-01-24,2021,Q1,2704.6,962.6,352.1,7.7,2.81,322.9,49.4,
MA-1018,GammaSolutions,PiPharma,Healthcare,Acquisition,Announced,North America,EY,2020-12-06,2020,Q4,2061.7,955.8,175.1,11.8,2.16,382.2,17.4,
MA-1019,AlphaTech,XiXchange,Consumer Goods,Joint Venture,Completed,Latin America,Lazard,2020-11-13,2020,Q4,990.0,256.9,115.0,8.6,3.85,158.8,12.7,220
MA-1020,BetaCorp,GammaSolutions,Real Estate,Leveraged Buyout,Due Diligence,North America,Morgan Stanley,2024-10-09,2024,Q4,969.8,346.9,73.8,13.1,2.8,82.7,15.4,
MA-1021,TauTelecom,ThetaCo,Technology,Leveraged Buyout,Announced,Latin America,KPMG,2021-06-18,2021,Q2,1061.1,214.8,72.7,14.6,4.94,116.1,40.2,
MA-1022,KappaEnterprises,PiPharma,Manufacturing,Acquisition,Announced,Latin America,Morgan Stanley,2020-05-30,2020,Q2,2711.3,568.2,224.6,12.1,4.77,277.5,13.1,
MA-1023,ThetaCo,NuNetworks,Consumer Goods,Merger,Terminated,Middle East,Deloitte,2023-06-06,2023,Q2,4920.1,1291.1,313.7,15.7,3.81,738.9,35.0,
MA-1024,DeltaIndustries,ZetaVentures,Consumer Goods,Acquisition,Announced,Middle East,JP Morgan,2021-07-11,2021,Q3,1444.7,571.1,169.4,8.5,2.53,221.2,48.4,
MA-1025,RhoRetail,PiPharma,Consumer Goods,Acquisition,Announced,Latin America,Deloitte,2020-03-31,2020,Q1,67.6,20.0,4.4,15.4,3.38,6.0,43.4,
MA-1026,SigmaSoft,XiXchange,Technology,Acquisition,Announced,Europe,Goldman Sachs,2024-09-05,2024,Q3,1877.6,553.0,148.7,12.6,3.4,105.7,26.4,
MA-1027,BetaCorp,NuNetworks,Energy,Merger,Announced,Asia Pacific,PwC,2023-06-25,2023,Q2,3759.9,647.7,219.8,17.1,5.81,279.6,46.0,
MA-1028,ZetaVentures,OmicronOil,Technology,Merger,Completed,Latin America,EY,2021-06-30,2021,Q2,838.0,205.1,58.1,14.4,4.09,46.8,31.2,162
MA-1029,OmicronOil,MuMedia,Consumer Goods,Merger,Due Diligence,North America,EY,2022-03-27,2022,Q1,1674.9,600.3,102.3,16.4,2.79,153.9,38.9,
MA-1030,NuNetworks,TauTelecom,Manufacturing,Acquisition,Announced,Asia Pacific,JP Morgan,2023-04-04,2023,Q2,4814.5,1275.5,524.1,9.2,3.77,554.6,42.8,
MA-1031,LambdaWorks,OmicronOil,Healthcare,Joint Venture,Due Diligence,Asia Pacific,Goldman Sachs,2023-12-22,2023,Q4,2208.5,942.8,180.4,12.2,2.34,338.0,52.3,
MA-1032,EtaHoldings,NuNetworks,Telecom,Acquisition,Completed,Middle East,KPMG,2023-09-20,2023,Q3,4247.7,929.0,290.2,14.6,4.57,409.4,28.4,266
MA-1033,KappaEnterprises,TauTelecom,Financial Services,Merger,Terminated,Latin America,JP Morgan,2023-06-14,2023,Q2,2867.1,1406.8,263.7,10.9,2.04,274.0,19.5,
MA-1034,TauTelecom,LambdaWorks,Real Estate,Joint Venture,Terminated,Europe,Lazard,2024-06-13,2024,Q2,4510.8,776.8,290.0,15.6,5.81,282.9,33.2,
MA-1035,UpsilonUtilities,LambdaWorks,Healthcare,Merger,Completed,Europe,EY,2020-10-28,2020,Q4,170.9,74.5,19.1,8.9,2.29,30.3,13.3,272
MA-1036,TauTelecom,EtaHoldings,Telecom,Joint Venture,Terminated,Europe,JP Morgan,2023-09-05,2023,Q3,3453.7,1124.8,206.7,16.7,3.07,631.4,45.0,
MA-1037,ThetaCo,ZetaVentures,Real Estate,Acquisition,Due Diligence,North America,Lazard,2020-09-30,2020,Q3,4017.0,1706.3,286.7,14.0,2.35,559.6,52.8,
MA-1038,OmicronOil,SigmaSoft,Telecom,Leveraged Buyout,Terminated,Europe,Lazard,2022-07-10,2022,Q3,1333.0,676.7,148.7,9.0,1.97,219.8,33.5,
MA-1039,ThetaCo,KappaEnterprises,Real Estate,Acquisition,Completed,Europe,Deloitte,2021-11-18,2021,Q4,1632.6,334.0,130.8,12.5,4.89,138.3,41.2,421
MA-1040,EtaHoldings,GammaSolutions,Telecom,Joint Venture,Completed,Middle East,Lazard,2022-05-01,2022,Q2,358.2,79.7,22.4,16.0,4.49,59.3,52.6,70
